Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
JRochedy,JRochedy,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
abubakerdimshqi,abubakerdimshqi,,78,; User,64,78,6,0.313174,0.329727,0.029622,19,0,0,0,0.03874
Abu268H,Abu268H,,1,Mentions,1,1,6,0.264297,0.27198,0,21,0,0,0,0.00332
AtajevWitness,AtajevWitness,,2,Mentions,1,2,7,0.268544,0.281999,0,3,0,0,0,0.006849
minut_lover,minut_lover,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
Official_SEA16,Official_SEA16,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
atzrf,atzrf,,1,Mentions,1,1,8,0.238195,0.244196,0,10,0,0,0,0.00195
aljisrtv,aljisrtv,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
AlArabiya_Eng,AlArabiya_Eng,,21,Mentions,11,21,6,0.358972,0.389831,0.01935,6,0,0.2,11,0.095637
MailOnline,MailOnline,,5,Mentions,4,5,6,0.351199,0.378407,0.000791,16,0,0.333333,2,0.067696
bbcworldservice,bbcworldservice,,1,Mentions,1,1,7,0.24104,0.247296,0,19,0,0,0,0.001789
Maveraunnehir29,Maveraunnehir29,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
GrayB88,GrayB88,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
klakishin6,klakishin6,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
20news24,20news24,,6,Mentions,2,6,6,0.312849,0.330583,0,2,0,1,1,0.030067
annaabbi,annaabbi,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
Dhul_Kifl4017,Dhul_Kifl4017,,1,Mentions,1,1,7,0.25697,0.264894,0,24,0,0,0,0.003083
