Source,Target,Type,Id,Label,timeset,Weight
melvynlion,Ansariyya,Undirected,374,,,4
thefIamesofhaqq,sparksofirhabi4,Undirected,375,,,6
wayf44rerr,Banniere_Noire,Undirected,376,,,2
Terror_Monitor,MaghrabiArabi,Undirected,377,,,1
warreporter2,amer_deghayes,Undirected,378,,,1
wayf44rerr,__alfresco__,Undirected,379,,,3
Nussra_E,AbuMusab_110,Undirected,380,,,12
Alwala_bara,AJENews,Undirected,381,,,1
dieinurage30_,432Mryam,Undirected,382,,,2
jolaybib1354,RamiAlLolah,Undirected,383,,,1
KhalidMaghrebi,GunsandCoffee70,Undirected,384,,,2
abo321asd,JohnsonsBot,Undirected,385,,,1
Nefro_Sabratha,MaghrebiWM,Undirected,386,,,1
_IshfaqAhmad,ShashiTharoor,Undirected,387,,,1
izthewiz0,WarReporter1,Undirected,388,,,1
ramiallolah,RamiAlLolah,Undirected,389,,,2
atruaz38,432Mryam,Undirected,390,,,1
_IshfaqAhmad,AFP,Undirected,391,,,5
Uncle_SamCoco,OrientNewsEn,Undirected,392,,,4
RamiAlLolah,KcudEmal,Undirected,393,,,1
khn_95,__alfresco__,Undirected,394,,,1
WarReporter1,AsimAbuMerjem,Undirected,395,,,5
ro34th,AP,Undirected,396,,,4
_IshfaqAhmad,AJENews,Undirected,397,,,1
TRACterrorism,MaghrebiQM,Undirected,398,,,1
moonnor27,AsimAbuMerjem,Undirected,399,,,1
wayf44rerr,ABrutoni,Undirected,400,,,3
Uncle_SamCoco,SyriaCivilDef,Undirected,401,,,1
WhiteCat_7,Daudoo,Undirected,402,,,1
warrnews,Paradoxy13,Undirected,403,,,7
mobi_ayubi,giphy,Undirected,404,,,1
MaghrabiArabi,Conflicts,Undirected,405,,,6
NaseemAhmed50,FoxNews,Undirected,406,,,1
ver_scholl_en,RamiAlLolah,Undirected,407,,,1
ibnaziz5,Baqiyah_Khilafa,Undirected,408,,,4
grezz10,UmmZee_,Undirected,409,,,3
brett_mcgurk,RamiAlLolah,Undirected,410,,,2
wayf44rerr,AbuBlock,Undirected,411,,,3
_SalmanHashimi,WarReporter1,Undirected,412,,,8
grezz10,SPIEGELONLINE,Undirected,413,,,1
RamiAlLolah,Anominon,Undirected,414,,,1
Uncle_SamCoco,SilentSecretMan,Undirected,415,,,20
MaghrebiQM,IraqSurveys,Undirected,416,,,1
jeje55556,alamreeki4,Undirected,417,,,1
MaghrabiArabi,JDK_SV1990,Undirected,418,,,1
warrnews,NextDoorArab,Undirected,419,,,1
IslamIs4all,IbnKashmir_,Undirected,420,,,1
abuhumayra4,QassamiMarwan,Undirected,421,,,2
NaseemAhmed50,DanjenAku,Undirected,422,,,1
murasil1,AssetSourceApp,Undirected,423,,,2
jundhullah14,abubakerdimshqi,Undirected,424,,,1
IraqSurveys,Fidaee_Fulaani,Undirected,425,,,1
mobi_ayubi,kamrsa1,Undirected,426,,,1
lion_faisal,_IshfaqAhmad,Undirected,427,,,1
Uncle_SamCoco,Bedouin127,Undirected,428,,,1
Ry159n,IbnKashmir_,Undirected,429,,,1
RamiAlLolah,CelticMuslim,Undirected,430,,,1
quintillion18,lNSlDEWAR,Undirected,431,,,1
arbaramzi18,NaseemAhmed50,Undirected,432,,,1
C36__abh,AsimAbuMerjem,Undirected,433,,,1
wayf44rerr,melvynlion,Undirected,434,,,1
HuzFuz,432Mryam,Undirected,435,,,1
mobi_ayubi,Jazrawi_Sukhna,Undirected,436,,,1
Uncle_SamCoco,1Vedophan188,Undirected,437,,,1
edasa123,RamiAlLolah,Undirected,438,,,3
warrnews,MustafAbuZir,Undirected,439,,,1
RevolutionSyria,RamiAlLolah,Undirected,440,,,21
xnotanummyet,Jazrawi_Saraqib,Undirected,441,,,1
RamiAlLolah,FreddieOskar,Undirected,442,,,1
Witness_alHaqq,Mustaklash60,Undirected,443,,,1
Chinja_Kafiir,Baqiyah_Khilafa,Undirected,444,,,2
mobi_ayubi,jasminechic1,Undirected,445,,,1
adam_hasakah86,Jazrawi_Saraqib,Undirected,446,,,1
alamreeki4,UmmLina81,Undirected,447,,,2
wayf44rerr,iQ_i92,Undirected,448,,,3
IbnKashmir_,Frankie13976396,Undirected,449,,,1
abuhanzalah10,AleksKhlebnikov,Undirected,450,,,3
_IshfaqAhmad,MiddleEastEye,Undirected,451,,,5
safiyaimback,DaeshiTweep,Undirected,452,,,1
safiyaimback,UmmIs_Is,Undirected,453,,,4
abdlrhmn15,ElWalaaWalBaraa,Undirected,454,,,1
mobi_ayubi,Alamet0,Undirected,455,,,1
ro34th,Adamhasak46,Undirected,456,,,6
Uncle_SamCoco,FrDesouche,Undirected,457,,,1
wayf44rerr,oobaida_ooo,Undirected,458,,,1
Afriqqiya_252,429Adwwff,Undirected,459,,,1
